Date,FCPOTOTS Index  (R1),WMMFAMNA Index  (L1),WMMFAMAC Index  (R2)
2013-05-15,1013.5,1427209,896914
2013-05-08,992.3,1427757,896598
2013-05-01,997.3,1424409,880110
2013-04-24,1009.8,1438033,894428
2013-04-17,1015.5,1439535,888868
2013-04-10,1021.7,1456852,894171
2013-04-03,1002.2,1457875,898914
2013-03-27,1021.7,1453439,901032
2013-03-20,1016.4,1446440,901999
2013-03-13,1018,1471826,902940
2013-03-06,1020.6,1466638,901205
2013-02-27,1063.1,1471515,912134
2013-02-20,1062.9,1462124,914425
2013-02-13,1085.3,1478431,922835
2013-02-06,1111.8,1488500,922246
2013-01-30,1125,1492751,922586
2013-01-23,1125.6,1494876,916925
2013-01-16,1132.8,1488213,924736
2013-01-09,1105,1494954,930523
2013-01-02,1081.8,1486640,928027
2012-12-26,1065.6,1482798,900283
2012-12-19,1058.3,1471130,885937
2012-12-12,1049.3,1490238,879279
2012-12-05,1035.6,1481813,886569
2012-11-28,1025.6,1466496,875099
2012-11-21,997.9,1457193,873702
2012-11-14,968.6,1440513,867099
2012-11-07,963.6,1440889,869230
2012-10-31,945.8,1419989,862057
2012-10-24,924.4,1448094,855301
2012-10-17,943.6,1445210,855826
2012-10-10,964.9,1436811,857324
2012-10-03,975.1,1432111,861254
2012-09-26,990.1,1437067,871488
2012-09-19,1008.3,1432438,866301
2012-09-12,1015.6,1434305,873009
2012-09-05,1022,1431321,867998
2012-08-29,1031.8,1431091,870879
2012-08-22,1025,1434752,866822
2012-08-15,1020.3,1420114,881078
2012-08-08,1013.6,1413676,875047
2012-08-01,1034.4,1406141,873524
2012-07-25,1002.7,1412238,871389
2012-07-18,982.5,1398179,867313
2012-07-11,981.9,1398725,878637
2012-07-04,972.6,1379538,879224
2012-06-27,1008.3,1386067,882794
2012-06-20,998.2,1387931,875868
2012-06-13,1007.1,1405922,877881
2012-06-06,1013.9,1417029,875188
2012-05-30,1028.6,1426189,875138
2012-05-23,1008.5,1416118,875547
2012-05-16,993.6,1411829,878262
2012-05-09,966.4,1419660,875649
2012-05-02,939.9,1414451,878248
2012-04-25,925.9,1427063,881528
2012-04-18,932.6,1428546,876358
2012-04-11,928.5,1426121,876297
2012-04-04,931.5,1426016,879620
2012-03-28,937.6,1433761,888120
2012-03-21,931.2,1443961,892541
2012-03-14,936.8,1453321,897193
2012-03-07,925.6,1454436,902008
2012-02-29,927.2,1456280,908572
2012-02-22,937.7,1462894,913042
2012-02-15,962.1,1446844,922997
2012-02-08,972.9,1435595,930290
2012-02-01,972.2,1436848,929844
2012-01-25,971.4,1442736,944620
2012-01-18,968,1445073,954410
2012-01-11,963.1,1448474,962822
2012-01-04,929.2,1433568,965872
