Date;Last Price;Open Price;High Price;Low Price;SMAVG (200);SMAVG (50);RX1 Comdty - Volume
2020-02-26;175.83;175.88;176.3;175.38;172.93;173.05;1407416
2020-02-25;176.02;175.37;176.21;175.21;172.88;172.98;1128961
2020-02-24;175.58;175.39;175.86;175.13;172.83;172.91;1261625
2020-02-21;174.93;174.98;175.37;174.77;172.79;172.84;955610
2020-02-20;174.96;174.55;175.12;174.51;172.75;172.75;869932
2020-02-19;174.66;174.41;174.74;174.28;172.7;172.66;635292
2020-02-18;174.53;174.51;174.92;174.29;172.66;172.58;761810
2020-02-17;174.45;174.35;174.52;174.08;172.62;172.51;264963
2020-02-14;174.48;174.29;174.59;174.1;172.57;172.42;470649
2020-02-13;174.27;174.16;174.64;174.05;172.53;172.35;879840
2020-02-12;174.02;174.17;174.2;173.72;172.48;172.29;737949
2020-02-11;174.26;174.48;174.55;174.13;172.44;172.24;766465
2020-02-10;174.57;174.33;174.69;174.01;172.39;172.18;500705
2020-02-07;174.18;173.87;174.42;173.84;172.35;172.11;725074
2020-02-06;173.82;173.71;173.96;173.42;172.31;172.05;762856
2020-02-05;173.92;174.33;174.63;173.65;172.27;171.99;947840
2020-02-04;174.53;175.06;175.07;174.25;172.22;171.94;837828
2020-02-03;174.88;175.1;175.14;174.62;172.18;171.86;692500
2020-01-31;175.04;174.29;175.3;174.16;172.12;171.78;763628
2020-01-30;174.57;174.23;174.65;174.23;172.07;171.7;761982
2020-01-29;174.06;173.66;174.28;173.41;172.02;171.63;628557
2020-01-28;173.68;174.11;174.48;173.48;171.97;171.55;885015
2020-01-27;174.23;173.75;174.27;173.41;171.93;171.47;892313
2020-01-24;173.28;172.82;173.54;172.6;171.89;171.38;812604
2020-01-23;173.03;172.41;173.09;172.35;171.85;171.31;765002
2020-01-22;172.33;172.04;172.5;171.91;171.81;171.24;584939
2020-01-21;172.21;171.75;172.27;171.55;171.78;171.2;752505
2020-01-20;171.67;171.76;171.76;171.52;171.75;171.17;233912
2020-01-17;171.61;171.66;171.82;171.46;171.71;171.16;484597
2020-01-16;171.72;171.62;171.8;171.35;171.69;171.15;637672
2020-01-15;171.46;171.05;171.72;171.01;171.66;171.15;672851
2020-01-14;171.01;170.74;171.08;170.65;171.63;171.15;694216
2020-01-13;170.76;171.36;171.43;170.71;171.61;171.15;611475
2020-01-10;171.35;171.31;171.43;170.85;171.59;171.15;555738
2020-01-09;171.14;171.31;171.51;171.01;171.56;171.15;732941
2020-01-08;171.78;172.5;173.22;171.26;171.53;171.16;825675
