Date,SPY US Equity  (R1),QQQ US Equity  (R1),TLT US Equity  (R1),IEML LN Equity  (L3),EMBE LN Equity  (R1),EUNH GY Equity  (R3),EMLC US Equity  (L2),IS0M GY Equity  (L4),EWJ US Equity  (R4),ARKK US Equity  (R1),IMEU NA Equity  (L1),IAU US Equity  (R1),COPA LN Equity  (R2),USO US Equity  (R1)
2018-10-08,287.82,179.05,112.66,56.63,90.73,119.8,32.42,144.48,59.43,43.16,23.27,11.39,25.515,125.44
2018-10-05,287.82,180.15,113.04,56.705,90.88,120.005,32.36,145.86,59.17,43.98,23.525,11.53,25.585,125.52
2018-10-04,289.44,182.38,114.02,56.62,91.16,120.38,32.2,146.865,59.16,44.83,23.735,11.49,25.995,125.92
2018-10-03,291.72,185.95,114.83,57.66,92.27,,32.54,,59.97,46.28,24.015,11.5,25.93,128.64
2018-10-02,291.56,185.75,116.86,57.71,92.26,120.67,32.76,145.595,60.5,46.19,23.855,11.53,26.035,126.96
2018-10-01,291.73,186.17,116.15,57.67,92.355,120.65,32.8,146.72,60.64,47.41,23.975,11.4,25.745,127.6
2018-09-28,290.72,185.79,117.27,57.74,92.345,121.035,32.92,148.26,60.23,47.34,23.94,11.43,26.02,124.16
2018-09-27,290.69,185.83,117.58,57.68,92.39,121.225,33.02,150.865,60.35,48.21,24.12,11.36,25.635,122.08
2018-09-26,289.88,184.27,117.5,57.36,91.845,121.345,32.98,151.51,60.51,47.81,24.015,11.45,26.18,120.88
2018-09-25,290.75,184.14,116.68,57.08,91.505,121.16,32.68,150.86,60.22,47.77,23.97,11.52,26.23,122.16
2018-09-24,291.02,183.89,116.8,57.46,91.82,121.155,32.78,150.33,59.77,47.33,23.85,11.49,26.375,122
2018-09-21,291.99,183.71,117.1,57.14,91.7,121.625,32.8,151.285,60.04,47.16,23.965,11.49,26.48,119.68
2018-09-20,293.58,184.72,117.15,57,91.42,121.47,32.76,150.805,59.91,48.33,23.85,11.57,25.19,118.4
2018-09-19,291.22,182.7,116.61,56.76,91.1,121.455,32.4,151.13,59.75,48.11,23.695,11.53,25.335,119.52
2018-09-18,290.91,182.84,117.31,56.42,90.84,121.6,32.16,151.73,59.54,48.14,23.6,11.49,25.18,117.52
2018-09-17,289.34,181.34,118.55,56.23,91.175,121.64,32.1,150.93,58.15,47.28,23.575,11.5,24.5375,115.76
2018-09-14,290.88,183.99,118.55,56.21,91.265,121.39,32.08,149.835,58.12,48.24,23.565,11.46,24.7475,116
2018-09-13,290.83,184.53,119.12,56.28,91.11,121.645,32.16,150.135,57.47,47.94,23.475,11.52,24.9625,115.92
2018-09-12,289.12,182.58,118.94,55.95,90.95,121.645,31.9,149.985,57.03,47.58,23.445,11.56,24.84,118.24
2018-09-11,289.05,183.12,118.66,55.27,90.54,121.65,31.72,150.235,56.92,47.43,23.365,11.48,24.1325,116.8
2018-09-10,288.1,181.72,119.57,55.38,90.77,121.76,31.74,150.405,56.8,46.86,23.385,11.46,24.31,113.68
2018-09-07,287.6,181.11,119.13,55.58,90.935,121.515,31.76,149.255,56.67,46.73,23.275,11.46,24.4475,114.24
2018-09-06,288.16,181.81,120.15,55.1,90.985,121.73,31.7,149.075,57.02,47.04,23.275,11.51,24.44,114.4
2018-09-05,289.03,183.45,119.71,54.97,90.685,121.635,31.6,148.58,56.89,47.99,23.4,11.48,24.18,115.92
2018-09-04,289.81,185.85,120.03,55.23,90.57,121.445,31.62,147.82,57.5,49.17,23.68,11.45,23.9575,116.64
2018-09-03,,,,55.77,90.98,121.24,,146.325,,,23.87,,24.635,
2018-08-31,290.31,186.65,120.995,55.89,91.095,121.265,32.32,145.805,58.22,49.7,23.845,11.5,24.75,117.68
2018-08-30,290.3,186.41,121.28,55.99,91.17,121.215,32.34,146.31,58.1,49.6,24.045,11.51,25.035,118
2018-08-29,291.48,186.74,121.02,56.89,91.955,121.12,32.78,146.95,58.51,49.63,24.12,11.57,25.225,117.28
2018-08-28,289.92,184.61,120.86,57.41,92.175,121.195,32.98,146.5,58.3,48.99,24.015,11.52,25.56,115.44
2018-08-27,289.78,184.34,121.59,,,121.27,33.2,146.81,58.48,48.88,24.055,11.6,,116
2018-08-24,287.51,182.48,122.29,57.34,92.18,121.565,33.08,146.995,57.61,48.06,23.895,11.56,25.275,115.44
2018-08-23,285.79,180.8,122.05,57.06,92.175,121.615,32.78,147.41,57.41,47.34,23.89,11.37,24.71,114.16
2018-08-22,286.17,181.06,121.86,57.26,92.22,121.695,33.1,147.615,57.65,47.41,23.915,11.47,24.875,114.16
2018-08-21,286.34,180.36,121.38,57.1,91.865,121.94,32.98,148.32,57.41,47.37,23.935,11.45,25.045,110.64
2018-08-20,285.67,179.7,121.79,56.68,91.595,121.895,32.86,147.64,57.42,46.38,23.89,11.41,24.725,110.08
2018-08-17,285.06,179.86,120.98,56.45,91.56,121.54,32.9,146.74,57.19,45.83,23.765,11.35,24.535,109.52
2018-08-16,284.06,179.82,120.83,56.82,91.54,121.61,32.82,146.865,57,46.4,23.775,11.26,24.5575,109.04
2018-08-15,281.78,179.23,120.84,56.3,91.36,121.535,32.7,146.385,56.69,45.92,23.85,11.27,23.92,108.08
2018-08-14,283.9,181.45,120.14,56.89,91.685,121.72,33.04,147.445,57.39,46.88,24.24,11.46,25.045,111.92
2018-08-13,282.1,180.32,120.41,56.62,91.095,121.625,32.74,147.05,57.16,46.61,24.225,11.45,25.52,112.08
2018-08-10,283.16,180.52,120.66,57.46,91.89,121.805,33.12,148.24,57.5,46.93,24.285,11.61,25.7,112.64
2018-08-09,285.07,181.91,119.79,58.93,92.785,121.815,34,149.055,58.34,46.82,24.545,11.62,25.86,111.04
2018-08-08,285.46,182.02,118.79,59.51,93.09,121.635,34.32,148.97,58.56,46.65,24.505,11.63,25.64,111.2
2018-08-07,285.58,181.8,118.67,59.84,93.3,121.685,34.42,149.2,58.62,46.6,24.555,11.6,25.655,114.88
2018-08-06,284.64,181.14,119.29,59.5,93.45,121.815,34.26,149.045,58.13,45.94,24.425,11.58,25.48,114.48
2018-08-03,283.6,180.08,119.22,59.77,93.535,121.56,34.42,148.845,58.57,45.47,24.475,11.64,25.85,114.16
2018-08-02,282.39,179.53,118.63,59.55,93.145,121.285,34.36,149.075,58.58,45.87,24.29,11.59,25.44,114.88
2018-08-01,280.86,177.12,118.46,60.16,93.36,121.505,34.6,150.165,58.91,44.73,24.515,11.66,25.65,112.72
2018-07-31,281.33,176.45,119.7,60.3,93.87,121.87,34.84,150.585,58.53,44.55,24.635,11.74,26.25,114.24
2018-07-30,279.95,175.11,119.05,60.31,94.025,121.715,34.92,150.11,58.98,43.6,24.585,11.72,26.07,116.32
2018-07-27,281.42,177.62,119.46,60.28,94.35,122.06,34.82,150.555,59.43,44.72,24.65,11.73,26.28,114.56
2018-07-26,283.34,180.05,119.26,60.01,94.17,122.155,34.7,150.89,59.25,46.5,24.535,11.73,26.235,115.76
2018-07-25,284.01,182.82,119.49,59.96,93.63,122.28,34.88,151.035,59.1,46.86,24.37,11.82,26.255,115.36
2018-07-24,281.61,180.3,119.68,59.67,93.275,122.2,34.42,150.98,58.72,45.88,24.445,11.75,26.275,113.84
2018-07-23,280.2,179.56,119.27,59.45,93.265,122.1,34.42,151.28,58.48,47.11,24.23,11.75,25.54,112.72
2018-07-20,279.68,178.99,120.76,59.55,93.475,122.365,34.4,151.775,58.19,47.27,24.26,11.81,25.59,113.2
2018-07-19,280,179.03,122.26,59.03,93.45,122.815,34.14,152.395,58.01,47.53,24.305,11.73,25.18,113.04
2018-07-18,281.06,179.93,121.49,59.52,93.49,122.685,34.4,152.15,58,47.31,24.325,11.77,25.56,112.8
2018-07-17,280.47,180.27,121.98,59.72,93.49,122.785,34.42,152.445,58.09,47.45,24.235,11.77,25.635,111.6
2018-07-16,279.34,179.18,122.21,59.7,93.58,122.47,34.4,151.57,57.58,46.94,24.17,11.91,25.71,111.52
2018-07-13,279.59,179.61,122.72,59.69,93.75,122.73,34.34,151.5275,57.56,47.74,24.225,11.9,25.895,115.76
2018-07-12,279.37,179.46,122.41,59.68,93.35,122.4625,34.32,150.995,57.03,47.75,24.18,11.95,25.89,115.12
2018-07-11,276.86,176.42,122.42,61.18,93.685,122.745,34.14,150.63,56.97,46.92,24.01,11.9,25.54,114.48
2018-07-10,278.9,177.32,121.95,61.7,93.725,122.745,34.68,150.84,57.77,46.96,24.33,12.04,26.38,120.56
2018-07-09,277.9,177.19,121.96,61.57,93.865,122.765,34.5,151.0225,57.99,47.17,24.21,12.06,26.62,120.24
2018-07-06,275.42,175.61,122.75,61.26,93.365,122.76,34.4,150.56,57.2,46.7,24.08,12.03,26.12,119.68
2018-07-05,273.11,172.92,122.35,60.86,92.825,122.7925,34.14,150.71,56.83,45.77,24.02,12.05,26.46,118.24
2018-07-04,,,,60.485,92.34,122.98,,151.435,,,23.94,,26.565,
2018-07-03,270.9,170.8,122,60.57,92.29,122.99,33.9,151.47,56.92,45.15,23.935,12.01,27.155,119.36
2018-07-02,271.86,172.8,121.35,59.93,91.685,122.87,33.68,151.3475,56.99,45.6,23.725,11.9,27.255,119.68
2018-06-29,271.28,171.65,121.72,60.72,92.21,122.72,34.04,151.0225,57.91,44.98,23.92,12.02,27.62,120.48
2018-06-28,270.89,171.19,122.14,60.33,91.68,122.235,34.06,150.0075,58.1,44.97,23.7,11.97,27.62,118.88
2018-06-27,269.35,169.73,122.11,60.38,91.98,122.19,33.88,149.6725,58.03,44.45,23.885,12,27.925,117.2
2018-06-26,271.6,172.07,120.97,60.8,91.965,121.675,34.24,148.93,58.42,45.77,23.695,12.07,28.04,114.16
2018-06-25,271,171.37,120.8,60.72,92.125,121.91,34.26,149.29,58.08,45.29,23.63,12.14,28.23,110.16
2018-06-22,274.74,175.32,120.53,60.95,92.545,122.205,34.44,150.375,58.88,46.61,24.225,12.18,28.32,112.16
2018-06-21,274.24,175.71,120.54,60.55,91.735,122.175,34.2,150.125,58.59,47.22,23.905,12.15,28.35,106.48
2018-06-20,275.97,177.25,119.91,60.61,91.72,122.5525,34.18,151.9725,58.81,48.37,24.105,12.18,28.36,106.24
2018-06-19,275.5,176,120.97,60.37,91.115,122.515,34.16,152.025,58.79,47.42,24.055,12.23,28.65,105.12
2018-06-18,276.56,176.5,120.27,60.28,91.495,122.375,34.14,151.9925,59.88,47.85,24.205,12.26,29.21,106.32
2018-06-15,277.13,176.98,120.38,60.68,92,122.165,34.28,151.325,60.32,47.28,24.425,12.29,29.43,104.4
2018-06-14,278.73,177.6,120.27,61.39,92.24,121.85,34.24,150.125,60.64,47.27,24.675,12.5,30.22,108.16
2018-06-13,278.03,175.82,119.28,61.7,92.505,121.385,34.68,150.525,60.7,46.4,24.34,12.47,30.545,107.76
2018-06-12,278.92,175.83,119.34,61.89,92.705,121.105,34.74,150.055,60.65,46.17,24.35,12.43,30.45,107.2
2018-06-11,278.56,174.91,119.31,62.12,93.145,121.1,34.92,150.03,61.03,45.78,24.355,12.47,30.53,106.88
2018-06-08,278.19,174.44,119.53,61.82,93.225,120.725,35.06,147.23,60.84,45.7,24.17,12.46,30.89,106.16
2018-06-07,277.37,174.43,119.89,62.18,93.4,120.865,34.94,148.36,60.66,45.43,24.225,12.44,30.935,106.8
2018-06-06,277.4,175.86,118.74,62.51,93.44,121.115,35.28,149.08,60.66,45.87,24.265,12.44,30.44,105.28
2018-06-05,275.1,174.84,119.71,62.35,93.735,122,35.16,150.91,60.4,45.09,24.275,12.44,29.865,105.76
2018-06-04,274.9,174.3,119.43,62.76,93.81,122.255,35.36,152.905,60.51,44.51,24.315,12.39,29.32,104.96
2018-06-01,273.6,172.74,120.3,62.59,93.55,122.03,35.24,151.375,60.15,43.77,24.285,12.41,28.9,106
2018-05-31,270.94,170.07,121.22,62.5,93.76,121.96,35.44,150.59,59.74,43.48,24,12.46,28.71,108.4
2018-05-30,272.61,170.18,121.42,62.61,94.355,121.15,35.56,148.395,60.15,43.67,24.185,12.49,28.58,110.64
2018-05-29,269.02,168.97,122.24,62.41,94.53,120.895,35.22,146.06,59.73,43.07,24.12,12.48,28.76,108.08
2018-05-28,,,,,,122.035,,151.705,,,24.38,,,
2018-05-25,272.15,169.72,119.62,62.77,94.685,122.235,35.54,153.975,60.13,43.19,24.475,12.48,28.89,109.44
2018-05-24,272.8,169.55,118.88,62.78,94.315,122.31,35.7,154.7,60.33,43.25,24.46,12.51,28.87,114.32
2018-05-23,273.36,169.6,117.94,62.39,93.78,121.93,35.78,154.645,60.7,43.34,24.6,12.41,28.795,116.08
2018-05-22,272.61,168.18,117.09,62.86,93.605,121.87,35.7,155.125,60.94,42.87,24.915,12.4,29.345,116.48
2018-05-21,273.37,168.4,117.27,62.06,93.135,,35.46,,61.08,42.74,24.815,12.41,28.96,117.36
2018-05-18,271.33,167.46,117.21,62.14,93.09,122.17,35.36,156.285,61.01,42.62,24.725,12.4,28.79,115.44
2018-05-17,272.01,168.33,116.21,63,93.49,122.14,35.7,157.215,61.16,43.13,24.745,12.38,28.92,115.92
2018-05-16,272.24,168.98,116.8,63.19,94.085,122.23,36.06,157.06,61.17,43.0695,24.865,12.39,28.63,115.68
