Date,SPY US Equity  (R1),QQQ US Equity  (R1),TLT US Equity  (R1),IEML LN Equity  (L3),EMBE LN Equity  (R1),EUNH GY Equity  (R3),EMLC US Equity  (L2),IS0M GY Equity  (L4),EWJ US Equity  (R4),ARKK US Equity  (R1),IMEU NA Equity  (L1),IAU US Equity  (R1),COPA LN Equity  (R2),USO US Equity  (R1)
2020-06-12,304.21,235.88,162.3,56.68,88.03,130.99,31.2,164.65,56.14,62.42,21.85,16.53,23.665,26.43
2020-06-11,300.61,234.02,163.88,56.99,88.4,130.785,30.92,164.24,55.15,61.57,21.78,16.49,23.765,26.36
2020-06-10,319,246.22,160.84,57.59,89.355,130.03,31.64,164.51,57.57,66.51,22.72,16.61,24.27,28.43
2020-06-09,320.79,243.3,158.49,57.425,89.41,130.085,31.45,165.19,57.6,65.61,22.8,16.38,23.71,28.42
2020-06-08,323.2,241.55,156.71,57.64,89.78,130.43,31.64,165.695,57.9,65.37,23.095,16.22,23.395,28.37
2020-06-05,319.34,239.69,156.11,57.73,89.36,129.8,31.66,165.55,57.06,64.25,23.135,16.06,23.4025,28.87
2020-06-04,311.36,235.03,157.23,57.27,88.785,130.22,31.54,165.55,56.25,63.95,22.575,16.39,22.75,27.5
2020-06-03,312.18,236.69,159.54,57.73,89.165,129.655,31.66,164.175,56.89,65.87,22.75,16.22,22.775,27.12
2020-06-02,308.08,235.63,161.69,57.21,88.01,130.64,31.41,164.67,56.5,65.6,22.125,16.52,22.7,27.07
2020-06-01,305.55,234.06,162.28,56.51,87.53,,31,,56.25,64.8,21.96,16.64,22.53,26.22
2020-05-29,304.32,233.36,163.59,55.78,86.78,130.925,30.83,164.605,55.41,62.82,21.555,16.53,22.055,25.88
2020-05-28,302.97,229.99,162.43,55.75,87.08,130.73,30.54,165.245,55.88,61.75,21.94,16.42,21.9,25.03
2020-05-27,303.53,230.29,163.03,55.5,87.16,130.325,30.62,164.59,55.16,62.51,21.59,16.38,21.605,25
2020-05-26,299.08,229.04,163.33,55.7,87.3,130.14,30.82,163.92,54.46,62.9,21.525,16.36,22.115,25.66
2020-05-25,,,,,,130.43,,163.61,,,21.38,,,
2020-05-22,295.44,229.66,165.55,54.82,86.56,130.3,30.17,163.375,52.67,62.76,20.975,16.58,21.78,25.57
2020-05-21,294.88,228.87,164.56,54.89,87.045,130.23,30.35,162.93,52.6,61.98,20.98,16.48,22.185,26.6
2020-05-20,296.93,231.39,164.15,54.6,86.63,130.075,30.11,162.755,53.17,61.82,21.19,16.73,22.5,25.34
2020-05-19,291.97,226.86,163.66,53.83,85.645,130.095,29.64,162.765,52.38,59.82,20.98,16.68,22.055,24.44
2020-05-18,295,227.43,163.05,53.69,85.155,129.615,29.55,162.315,53,59.88,21.11,16.55,21.955,24.31
2020-05-15,286.28,223.27,166.71,52.97,83.77,129.81,28.98,160.78,51.71,58.09,20.28,16.67,21.325,22.39
2020-05-14,284.97,221.83,167.14,52.61,82.955,129.865,29.08,161.01,51.62,56.25,20.23,16.57,21.405,21.45
2020-05-13,281.6,219.34,165.52,52.805,83.705,130.07,28.93,161.16,52.4,56.33,20.815,16.4,21.485,20.6
2020-05-12,286.67,222.12,164.37,53.36,84.705,129.415,28.98,160.4,52.15,58.16,21.245,16.28,21.59,20.97
2020-05-11,292.5,226.87,162.7,52.9,83.95,129.3,28.83,160.44,52.84,59.68,21.195,16.21,21.695,21.17
2020-05-08,292.44,224.86,163.98,,,129.72,28.94,161.27,52.34,58.3,21.29,16.31,,21.47
2020-05-07,287.68,221.82,166.14,52.32,83.16,130.1,28.71,160.23,51.46,56.6,21.115,16.42,21.6625,20.47
2020-05-06,284.25,219,163.41,52.3,82.655,129.315,28.63,159.6,50.7,55.33,20.845,16.14,21.375,20.85
2020-05-05,286.19,217.66,166.09,52.74,83.105,130.15,28.9,160.91,51.09,55.06,20.945,16.31,21.16,21.51
2020-05-04,283.57,215.22,167.16,52.04,82.12,130.335,28.68,162,50.6,54.31,20.47,16.27,21.06,19.67
2020-05-01,282.79,212.74,167.95,52.12,81.775,,28.59,,50.85,52.38,,16.22,21.105,18.86
2020-04-30,290.48,218.91,166.74,52.79,82.21,130.75,28.89,162.11,51.76,55.33,21.22,16.11,21.4325,19.12
2020-04-29,293.21,219,168.71,52.58,81.89,129.7,29.14,161.88,53.26,56.63,21.635,16.43,21.77,18
2020-04-28,285.73,211.5,169.59,51.89,80.335,129.49,28.63,162.18,52.34,54.05,21.265,16.34,21.45,17.04
2020-04-27,287.05,215.56,167.66,51.63,80.25,129.275,28.27,161.815,51.59,55.64,20.9,16.43,21.405,17.52
2020-04-24,282.97,213.84,170.84,51.54,80.04,128.975,28.08,160.28,50.89,53.06,20.49,16.5,21.2125,20.56
2020-04-23,279.08,210.52,170.44,51.94,80.91,128.255,28.43,159.04,50.5,52.01,20.745,16.57,21.265,21.12
2020-04-22,279.1,210.97,169.54,51.69,80.33,127.905,28.49,157.76,50.43,52.42,20.555,16.4,21.04,20.08
2020-04-21,273.04,204.89,171.29,51.79,80.385,128.34,28.65,157.12,49.57,50.61,20.19,16.11,20.655,22.48
2020-04-20,281.59,212.74,169.16,52.31,81.715,128.5,28.76,159.8,50.04,52.8,20.915,16.23,21.365,30
2020-04-17,286.64,215.29,167.81,52.165,81.815,129.28,28.84,161.33,50.82,52.26,20.735,16.08,21.515,33.68
2020-04-16,279.1,213.25,170.09,52.01,81.865,129.515,28.56,160.68,50.15,50.6,20.205,16.41,21.225,34.88
2020-04-15,277.76,209.43,168.18,51.54,82,128.895,28.77,160.22,50.58,49.56,20.115,16.49,21.125,35.44
2020-04-14,283.79,211.86,163.84,52,83.685,128.54,28.95,161.27,51.09,50.38,20.775,16.54,21.28,37.28
2020-04-13,275.66,203.03,163.88,,,,28.74,,50.17,47.85,,16.38,,39.44
2020-04-09,278.2,200.86,165.39,52.19,83.46,129.035,28.86,163.13,50.38,47.29,20.7,16.09,20.765,39.84
2020-04-08,274.03,200.57,165.09,51.28,81.07,128.95,28.44,162.5,49.73,46.01,20.385,15.69,20.775,42.96
2020-04-07,265.13,196.4,166.3,50.935,80.93,128.675,28.19,163.185,49.85,44.22,20.395,15.88,21.005,40.72
2020-04-06,264.86,196.48,168.06,49.81,80.22,130.08,27.65,164.215,49.32,44.18,20.015,15.94,20.3,43.84
2020-04-03,248.19,183.37,168.5,49.61,79.16,129.49,27.27,163.67,46.57,40.2,19.31,15.53,20.1225,47.2
2020-04-02,251.83,186.01,168.1,50.185,79.095,130.6,27.55,164.485,47.64,40.49,19.47,15.42,20.31,40.88
2020-04-01,246.15,182.31,167.04,49.91,78.58,129.22,27.67,163.67,47.04,40.24,19.385,15.17,19.995,35.04
2020-03-31,257.75,190.4,164.97,51.34,80.585,129.78,28.47,164.08,49.39,44,19.965,15.07,20.42,33.68
2020-03-30,261.65,192.04,166.32,50.6,80.415,131.16,28.2,164.68,50.79,44.6,19.655,15.49,19.8475,33.84
2020-03-27,253.42,185.3,167.7,51.31,80.645,131.035,28.47,166.06,50.18,43.76,19.39,15.45,19.95,35.76
2020-03-26,261.2,191.9,163.34,51.8,82.25,130.78,28.97,166.95,50.24,45.97,20.005,15.57,19.9975,38.64
2020-03-25,246.79,182.3,162.54,49.75,79.755,129.27,28.36,163.33,48.64,43.79,19.585,15.35,20.365,40.64
2020-03-24,243.15,183.66,162.91,48.93,76.235,128.445,27.69,162.81,47.74,42.15,18.975,15.52,20.2425,39.84
2020-03-23,222.95,170.46,166,48.45,73.22,130.205,27.12,162.8,44.64,38.35,17.5,14.85,19.185,39.04
2020-03-20,228.8,170.7,159.43,48.83,75.81,130.04,26.88,162.88,45.11,37.85,18.335,14.23,19.9575,39.52
2020-03-19,240.51,177.66,148.28,48.5,70.525,128.835,26.65,160.88,45,37.81,18,14.03,20.0175,42.96
2020-03-18,240,176.6,144.35,49.31,73.065,125.275,27.04,155.225,44.38,34.69,17.26,14.26,19.905,37.68
2020-03-17,252.8,182.14,152.98,51.06,78.755,128.745,28.67,155.565,45.34,38.23,18.1,14.6,21.35,45.68
2020-03-16,239.85,169.3,163.91,51.48,79.12,127,28.91,157.965,43.22,36.22,17.74,14.4,21.9575,48.4
2020-03-13,269.32,192.34,153.94,52.74,81,129.87,29.62,160.92,46.27,42.9,18.675,14.55,22.6725,55.68
2020-03-12,248.11,177.32,157.5,51.56,79.51,133,29.02,161.28,44.8,41.03,18.3,14.99,22.575,52.32
2020-03-11,274.36,195.22,156.53,56.21,87.63,134.155,30.85,167.54,49.67,46.94,20.625,15.62,23.085,55.52
2020-03-10,288.42,204.11,162.51,56.64,89.025,133.99,31.6,165.43,51.41,50.05,20.83,15.68,23.1525,57.92
2020-03-09,274.23,193.57,171.29,56.67,90.5,134.295,30.89,164.95,49.92,47.78,21,16.04,23.065,52.16
2020-03-06,297.46,208.02,166.77,58.17,94.75,134.44,32.54,168.88,52.6,52.11,22.77,16,23.405,69.84
2020-03-05,302.46,211.59,158.52,58.79,96.005,134.125,32.7,169.44,53.11,53.51,23.62,15.99,23.74,76.88
2020-03-04,312.86,218.22,154.67,59.49,96.64,134.13,33.02,169.75,54.09,54.79,24,15.66,23.705,78.88
2020-03-03,300.24,209.48,156.33,59.23,95.74,134.41,32.97,169.94,52.94,52.99,23.615,15.62,23.53,79.12
2020-03-02,309.09,216.42,153.94,58.32,94.865,133.555,32.5,168.56,53.63,54.08,23.29,15.15,23.675,79.36
2020-02-28,296.26,205.8,155.31,57.55,94.04,133.345,32.41,168.68,52.96,52.84,23.26,15.07,23.3,75.6
2020-02-27,297.51,205.64,151.88,58.32,94.33,132.905,32.71,169.3,53.02,51.71,24.09,15.62,23.465,78.24
2020-02-26,311.5,216.48,150.25,58.96,95.72,133.2,32.98,170.035,54.9,53.54,25.02,15.63,23.7,81.52
2020-02-25,312.65,215.37,151.05,58.99,95.8,133.445,33.02,170.2,54.63,54.1,25,15.56,23.685,83.2
2020-02-24,322.42,221.39,150.25,58.96,96.295,133.35,33.05,170.325,54.72,56.02,25.51,15.85,23.7775,85.92
2020-02-21,333.48,230.27,148.04,59.55,96.69,133.265,33.31,171.075,56.63,58.61,26.5,15.71,24.095,89.28
2020-02-20,336.95,234.78,146.67,59.41,96.355,133.165,33.29,171.12,57.11,59.89,26.6,15.48,23.835,90.24
2020-02-19,338.34,236.98,145.53,59.85,96.175,132.805,33.57,170.78,57.48,60.37,26.855,15.41,23.9975,89.44
2020-02-18,336.73,234.73,145.54,59.89,96.12,132.71,33.54,170.75,57.58,59.16,26.66,15.32,24.0375,87.6
2020-02-17,,,,60.02,96.125,132.685,,171,,,26.75,,24.2275,
2020-02-14,337.6,234.64,144.55,60.06,95.97,132.66,33.65,170.86,58.45,58.69,26.665,15.13,23.94,87.6
2020-02-13,337.06,233.97,143.92,59.93,95.69,132.625,33.51,171.165,58.89,58.76,26.695,15.07,24.125,86.72
2020-02-12,337.42,234.27,143.37,60.01,96.01,132.45,33.54,170.86,59.41,58.33,26.785,14.97,24.025,86.48
2020-02-11,335.26,232.01,144.1,59.93,96.115,132.37,33.53,170.28,59.7,57.79,26.58,14.98,23.83,84
2020-02-10,334.68,231.97,144.83,59.72,95.97,132.5,33.36,170.315,59.4,56.89,26.355,15.03,23.48,83.36
2020-02-07,332.2,229.2,144.43,59.68,95.94,132.25,33.35,170.38,59.47,55.84,26.355,15,23.585,84.64
2020-02-06,333.98,230.19,142.65,60.19,95.87,132.085,33.57,170.105,60.05,56.17,26.41,14.97,23.9,85.92
2020-02-05,332.86,228.22,142.01,60.36,95.785,132.145,33.72,170.065,59.6,55.52,26.295,14.88,23.75,85.6
2020-02-04,329.06,227.47,143.58,60.3,95.655,132.455,33.66,170.27,59.07,56.32,25.97,14.86,23.42,83.52
2020-02-03,324.12,222.38,145.54,59.92,95.82,132.665,33.45,170.18,58.19,53.96,25.54,15.06,23.1825,83.92
2020-01-31,321.73,219.07,145.9,59.6,95.73,132.88,33.58,171.3,57.75,51.8,25.51,15.17,23.28,86.72
2020-01-30,327.68,222.6,144.58,59.82,95.54,132.555,33.65,170.52,58.71,52.95,25.805,15.07,23.38,88.64
2020-01-29,326.62,221.81,144.56,60.11,95.485,132.27,33.81,170.33,58.79,52.85,26.065,15.06,23.615,89.28
2020-01-28,326.89,221.45,143.16,59.98,95.13,131.915,33.84,169.54,58.98,52.82,26.14,14.99,23.835,90
2020-01-27,323.5,218.1,144.29,59.82,94.69,132.09,33.68,169.26,58.46,51.85,25.765,15.13,23.995,88.8
2020-01-24,328.77,222.7,142.08,60.38,95.005,131.52,33.97,167.14,59.53,52.8,26.37,15.02,24.72,91.44
2020-01-23,331.72,224.59,140.94,60.57,95.04,131.03,33.96,166.92,59.76,53.8,26.13,14.94,25.05,93.28
2020-01-22,331.34,223.87,139.96,60.61,95.27,130.75,34.01,165.66,59.69,53.84,26.31,14.9,25.49,95.2
2020-01-21,331.3,223.28,139.47,60.52,95.19,130.355,33.85,165.615,59.42,53.59,26.325,14.9,25.815,97.92
2020-01-20,,,,60.56,95.29,130.115,,165.685,,,26.38,,26.205,
2020-01-17,331.95,223.38,138.02,60.49,95.255,130.03,33.89,165.41,59.74,53.67,26.42,14.89,26.265,98.64
2020-01-16,330.92,222.28,139.21,60.47,95.255,129.925,33.88,164.965,59.7,54.01,26.155,14.85,26.325,98.32
2020-01-15,328.19,220.17,139.65,62.1,95.465,130.415,33.92,165.53,59.66,53.43,26.12,14.88,26.36,97.44
2020-01-14,327.45,220.08,138.73,62.12,95.12,130.165,33.94,165.45,59.88,53.26,26.09,14.78,26.45,98.24
2020-01-13,327.95,220.95,138.02,62.11,95.16,129.945,33.92,165.57,59.86,53.04,26.025,14.8,26.325,97.6
2020-01-10,325.71,218.43,138.44,62.29,95.235,130.415,34,166.02,59.52,51.97,26.06,14.92,26.02,99.28
2020-01-09,326.65,218.99,137.22,62.1,95,130.29,33.96,165.52,59.94,52.35,26.09,14.82,25.86,99.92
2020-01-08,324.45,217.15,136.74,62.08,95.19,130.56,33.97,165.28,59.52,52.29,26.055,14.91,25.79,101.28
2020-01-07,322.73,215.53,137.645,61.84,95.075,130.725,33.81,165.395,59.51,51.14,26.005,15.02,25.68,105.04
2020-01-06,323.64,215.56,138.33,62.19,94.825,130.815,33.89,165.76,59.41,50.52,25.94,14.96,25.6,105.28
2020-01-03,322.41,214.18,139.12,62.04,94.995,130.92,33.87,165.96,59.2,50.13,26.05,14.81,25.645,105.44
2020-01-02,324.87,216.16,137.015,62.29,95.21,130.3,34.07,165.16,59.86,50.5,26.13,14.61,25.84,102.48
2019-12-31,321.86,212.61,135.48,62.23,95.17,,34.01,,59.24,50.05,25.805,14.5,25.92,102.48
2019-12-30,321.08,212.21,136.82,62.19,95.17,130.195,33.89,165.515,59.05,49.74,25.835,14.49,26.02,103.12
2019-12-27,322.86,213.61,137.32,61.99,95.38,130.675,34.04,165.725,59.58,51.14,26.105,14.44,26,103.28
2019-12-26,322.94,213.79,137.17,,,,33.92,,59.69,51.77,,14.45,,103.12
2019-12-24,321.23,211.92,136.84,61.39,94.785,,33.83,,59.53,51.82,26.045,14.33,26.035,102.16
2019-12-23,321.22,211.81,136.45,61.54,94.86,130.465,33.76,165.65,59.77,51.59,26.005,14.2,25.89,101.6
2019-12-20,320.73,211.71,136.65,61.41,94.65,130.535,33.72,165.28,59.82,50.96,26,14.12,25.835,101.04
2019-12-19,320.9,210.86,136.47,61.5,94.635,130.51,33.73,165.58,59.86,50.87,25.81,14.13,25.99,102.24
2019-12-18,319.59,209.55,136.47,61.35,94.77,130.695,33.68,166.04,59.92,50.54,25.78,14.1,25.865,101.92
2019-12-17,319.57,209.39,137.6,61.35,94.575,131.17,33.73,166.64,60.16,50.18,25.77,14.1,25.95,101.76
2019-12-16,319.5,209.27,137.79,61.27,94.395,130.91,33.67,166.36,60.29,50.23,25.93,14.12,25.9,100.72
2019-12-13,317.32,207.19,139.04,61.01,94.225,131.175,33.53,166.76,60.73,49.1,25.595,14.12,25.495,99.92
2019-12-12,317.13,206.51,137.45,60.97,93.97,130.685,33.45,165.92,60.57,49.4,25.335,14.05,25.73,98.96
2019-12-11,314.42,204.98,139.75,60.58,94.05,131.12,33.47,167.25,60.42,48.97,25.215,14.11,25.74,98.4
2019-12-10,313.53,203.9,138.66,60.39,93.725,130.8,33.22,166.86,60.29,49.26,25.155,14,25.48,99.12
2019-12-09,313.88,204.07,138.65,60.5,93.725,130.815,33.23,166.48,60.32,49.05,25.235,13.97,25.36,98.64
2019-12-06,314.87,205,138.35,60.27,93.455,130.41,33.15,165.82,60.66,49.46,25.28,13.96,24.9975,98.56
2019-12-05,312.02,202.83,139.12,60.19,93.21,130.55,33.07,165.525,59.97,48.96,24.96,14.11,24.5275,97.52
2019-12-04,311.46,202.43,139.8,60.14,93.05,130.945,32.96,166.485,60.21,49.19,25.015,14.09,24.53,97.52
2019-12-03,309.55,201.41,141.21,59.93,92.83,131.265,32.92,166.52,59.54,49.09,24.715,14.12,24.17,94.08
2019-12-02,311.64,203,138.31,59.91,92.75,130.54,32.83,165.83,59.31,48.96,24.905,13.98,24.545,93.36
2019-11-29,314.31,205.1,140.42,59.74,93.065,131.295,32.95,166.96,59.43,50.43,25.31,13.98,24.45,92.96
2019-11-28,,,,59.59,93.29,131.31,,167.04,,,25.4,,24.615,
2019-11-27,315.48,206.04,140.72,59.61,93.275,131.45,32.92,167.355,60,50.23,25.435,13.91,24.84,97.12
2019-11-26,314.08,204.61,141.13,59.63,93.385,131.555,33.02,167.825,59.88,50,25.37,13.98,24.72,97.52
2019-11-25,313.37,204.22,140.31,59.91,93.34,131.535,33.01,168.03,59.98,49.67,25.345,13.91,24.485,96.88
2019-11-22,310.96,201.83,139.9,60.1,93.1,131.375,33.14,167.75,59.57,48.42,25.095,13.98,24.42,96.88
2019-11-21,310.27,201.7,139.72,60.18,93.005,131.11,33.23,167.83,59.53,48.15,24.985,14,24.325,97.6
2019-11-20,310.77,202.15,140.6,60.09,93.005,131.315,33.21,167.555,59.47,48.43,25.075,14.08,24.53,95.2
2019-11-19,311.93,203.37,139.16,60.35,92.79,131.175,33.31,167.04,59.65,48.45,25.17,14.08,24.565,92.56
2019-11-18,312.02,203.07,138.01,60.39,93.23,131.26,33.33,167.53,59.84,47.4,25.2,14.08,24.36,95.2
2019-11-15,311.79,202.91,137.76,60.5,93.555,131.035,33.36,167.195,59.79,47.4,25.22,14.03,24.42,96.64
2019-11-14,309.55,201.43,137.91,59.94,93.525,130.93,33.16,166.21,59.44,46.56,25.14,14.06,24.2925,95.28
2019-11-13,309.1,201.59,136.5,59.93,93.395,130.935,33.12,167.12,59.7,46.37,25.35,14,24.38,95.68
2019-11-12,309,201.54,135.62,60.3,93.565,130.66,33.27,167.38,59.91,46.65,25.395,13.95,24.535,94.96
2019-11-11,308.35,200.96,135,60.55,93.735,130.5,33.46,166.84,59.78,46.32,25.305,13.9,24.65,95.12
2019-11-08,308.94,201.23,134.91,60.7,93.87,131.19,33.6,167.72,59.93,45.85,25.3,13.95,24.81,95.92
2019-11-07,308.18,200.43,135.48,61.07,93.845,130.86,33.65,168.06,59.96,45.21,25.38,14.03,25.05,95.04
2019-11-06,307.1,199.76,137.98,61.05,94.09,131.735,33.72,169.485,59.61,45.22,25.295,14.26,24.8475,94.48
2019-11-05,307.03,200.21,137.15,61.23,94.185,131.655,33.79,169.61,59.74,45.39,25.235,14.19,24.95,95.44
2019-11-04,307.37,200.1,138.71,61.42,94.615,131.825,33.9,169.85,59.66,45.48,25.195,14.43,24.6,94.48
2019-11-01,306.14,198.87,140.56,61.38,94.89,132.04,33.86,169.89,59.26,45.23,24.935,14.46,24.4575,93.52
2019-10-31,303.33,197.08,141.24,61.01,94.215,132.5,33.94,170.66,58.68,44.23,24.78,14.46,24.38,90.4
2019-10-30,304.14,196.99,139.36,60.93,93.87,132.01,33.87,169.83,58.67,44.37,24.9,14.32,24.8875,91.76
2019-10-29,303.21,196.04,137.35,61.35,94.02,131.995,34.05,169.83,58.51,44.32,24.865,14.22,24.87,92.64
2019-10-28,303.3,197.57,137.26,61.42,94.245,131.755,34.11,169.6,58.26,44.64,24.915,14.27,24.8,93.2
2019-10-25,301.6,195.64,138.52,61.28,94.56,132.265,34.09,170.19,58.09,43.52,24.835,14.4,24.8075,94.64
2019-10-24,300.37,194.09,139.2,61.18,94.545,132.515,33.86,170.605,58.12,42.65,24.825,14.37,24.66,93.84
2019-10-23,299.88,192.22,139.48,61,94.375,132.445,33.98,170.27,58.09,41.76,24.655,14.27,24.6475,93.2
2019-10-22,299.01,191.85,139.34,60.93,94.265,132.245,33.84,170.44,57.85,41.93,24.64,14.23,24.3925,90.72
2019-10-21,299.99,193.39,138.53,60.7,94.115,131.88,33.77,169.66,57.78,42.41,24.615,14.18,24.4275,89.68
2019-10-18,297.97,191.69,139.58,60.75,94.35,132.265,33.81,170.45,57.37,41.93,24.435,14.25,24.37,89.76
2019-10-17,299.28,193.55,139.58,60.51,94.235,132.54,33.61,170.81,57.48,42.8805,24.52,14.27,24.005,90.24
2019-10-16,298.4,193.04,139.92,60.24,94.48,132.445,33.55,170.545,57.63,42.8,24.545,14.25,23.895,89.12
2019-10-15,298.88,193.52,139.75,60.27,94.655,132.73,33.52,170.42,57.75,43.15,24.605,14.18,24.175,88.48
2019-10-14,295.95,191.09,141.46,60.36,94.575,132.865,33.62,170.57,56.9,42.26,24.37,14.26,24.24,89.44
2019-10-11,296.28,191.11,140.44,60.4,94.52,132.55,33.69,170.26,57.15,41.93,24.475,14.21,24.21,91.36
2019-10-10,293.24,188.68,142.2,60.21,94.525,132.8,33.53,170.105,56.45,41.28,23.985,14.29,24.1575,89.52
2019-10-09,291.27,187.23,144.35,59.92,94.55,133.605,33.4,171.07,56.52,41.19,23.78,14.42,23.6825,87.92
2019-10-08,288.53,185.42,145.17,59.83,94.665,133.94,33.15,171.28,56.03,40.62,23.675,14.41,23.7625,87.12
2019-10-07,293.08,188.24,144.78,60.04,95.09,133.82,33.2,171.285,56.36,42.03,23.945,14.28,23.8875,88.32
2019-10-04,294.35,188.81,145.99,60.2,94.96,133.94,33.48,171.47,56.72,41.97,23.805,14.41,23.525,88.32
2019-10-03,290.42,186.07,144.92,59.76,94.555,,33.27,,56.07,41.53,23.59,14.41,23.71,87.44
2019-10-02,288.06,184.05,143.61,59.23,94.24,133.48,32.93,170.96,55.79,41.27,23.59,14.34,23.8225,87.84
2019-10-01,293.24,187.27,143.26,59.15,94.42,133.68,32.78,171.14,56.49,41.9,24.26,14.17,23.615,89.52
2019-09-30,296.77,188.81,143.08,59.29,94.65,133.96,33,171.78,56.74,42.89,24.58,14.1,23.9,90.72
2019-09-27,295.4,187.03,142.73,59.46,94.75,134.04,33.03,171.82,56.48,42.64,24.495,14.32,24.0925,93.28
2019-09-26,297,189.38,142.38,59.43,94.705,134.14,33.07,171.745,57.3,43.07,24.385,14.39,23.855,94.4
2019-09-25,297.62,190.08,141.47,59.26,94.39,134.065,32.99,171.65,57.2,43.14,24.2,14.39,24.1,94.4
2019-09-24,295.87,187.97,143.57,59.7,94.775,134.155,33.34,171.715,56.97,43.04,24.365,14.66,24.09,95.2
2019-09-23,298.21,190.5,141.86,59.79,95.47,133.94,33.37,171.64,56.89,44.54,24.39,14.59,24.07,97.68
2019-09-20,298.28,190.8,141.89,59.73,95.41,133.135,33.42,170.62,56.95,44.74,24.54,14.51,24.125,97.6
2019-09-19,301.08,192.84,140.04,59.91,95.195,133.08,33.28,171.01,57.08,44.85,24.5,14.34,24.1225,97.52
2019-09-18,301.1,192.52,139.62,60.06,95.15,133.07,33.16,171.055,56.66,45.04,24.32,14.27,24.155,96.8
2019-09-17,300.92,192.6,139.03,59.83,94.745,132.525,33.3,170.515,56.78,45.5,24.335,14.36,24.265,98.32
2019-09-16,300.16,191.68,138.28,59.89,94.475,132.865,33.2,171.3,56.57,45.4,24.325,14.34,24.4825,102.64
2019-09-13,301.09,192.54,136.54,60.18,94.74,132.585,33.31,170.945,56.87,45.25,24.49,14.22,24.955,91.52
2019-09-12,301.29,193.23,139.52,60.13,95.54,133.29,33.46,171.245,56.21,45.5,24.39,14.33,24.23,91.76
2019-09-11,300.25,192.43,140.44,59.67,95.56,133.145,33.18,170.23,55.84,45.54,24.355,14.31,24.085,93.44
2019-09-10,298.13,190.64,140.69,59.74,95.67,132.92,33.16,169.425,55.35,44.35,24.155,14.22,24.17,95.84
2019-09-09,298.2,191.19,143.2,59.8,96.415,133.39,33.26,170.165,55.19,43.81,24.12,14.34,24.255,96.64
2019-09-06,298.05,191.59,145.79,59.84,96.89,134.09,33.29,170.965,54.83,43.94,24.19,14.41,24.365,94.16
2019-09-05,297.82,191.78,144.76,59.58,96.63,133.465,33.21,170.575,54.64,44.04,24.12,14.53,24.41,93.6
2019-09-04,294.04,188.33,147.43,59.6,96.88,134.665,33.19,171.825,54.25,43.34,23.925,14.88,23.93,93.68
2019-09-03,290.74,185.65,147.21,59.01,96.19,134.975,32.74,171.41,53.95,43.27,23.7,14.79,23.235,89.76
2019-09-02,,,,58.84,96.075,134.415,,170.26,,,23.76,,23.445,
2019-08-30,292.45,187.47,147.28,58.97,96,134.545,32.97,169.715,53.92,44.32,23.705,14.56,23.62,91.68
2019-08-29,292.58,187.92,147.24,58.84,95.82,134.77,32.91,170.14,53.75,44.18,23.535,14.62,23.89,94.24
2019-08-28,288.89,185.09,147.8,58.73,95.695,134.84,32.83,169.565,53.37,43.38,23.255,14.73,23.645,93.12
2019-08-27,286.87,184.43,147.61,58.8,95.595,134.32,32.98,168.115,53.39,43.12,23.315,14.76,23.625,91.36
2019-08-26,288,184.82,145.37,,,133.46,33.06,166.03,53.56,43.79,23.17,14.63,,89.44
2019-08-23,284.85,182.07,145.96,59.15,95.365,133.465,33.14,166.06,52.79,43.51,23.16,14.62,23.52,89.52
2019-08-22,292.36,188.02,143.6,59.3,95.415,133.32,33.16,166.075,53.39,44.99,23.335,14.34,23.62,92.24
2019-08-21,292.45,188.63,144.56,59.52,95.31,133.655,33.37,165.78,53.47,45.66,23.425,14.36,23.92,92.88
2019-08-20,290.09,186.97,145.53,59.19,95.055,133.735,33.37,165.55,53.29,45.26,23.15,14.42,23.815,93.04
2019-08-19,292.33,188.43,144.04,59.27,95.06,133.105,33.21,164.905,53.4,45.55,23.31,14.32,24.06,93.28
2019-08-16,288.85,185.48,146.13,59.49,95.285,133.82,33.53,165.285,53.41,44.69,23.075,14.49,23.94,91.2
2019-08-15,284.65,182.55,147.31,59.15,95.125,134.09,33.38,166.01,52.86,43.56,23.025,14.58,23.99,90.8
2019-08-14,283.9,182.76,145.69,59.23,95.02,133.275,33.16,164.18,52.36,43.64,23.1,14.48,23.995,91.52
2019-08-13,292.55,188.39,142.48,59.71,95.225,132.615,33.74,163.19,53.66,45.23,23.47,14.38,24.23,94.96
2019-08-12,288.07,184.35,142.97,59.16,95.465,132.005,33.71,162.095,53.06,44.31,23.33,14.46,23.89,90.88
2019-08-09,291.62,186.49,140.05,59.81,96.4,131.815,34.09,161.24,53.57,45.27,23.41,14.33,23.9225,90.24
2019-08-08,293.62,188.26,140.33,60,96.065,132.4,34.16,164.21,54.14,45.89,23.625,14.39,24.16,87.68
2019-08-07,287.97,184.25,140.03,59.37,95.805,132.94,33.86,165.49,53.76,45.13,23.18,14.3,23.6975,86.72
2019-08-06,287.8,183.26,139.98,59.24,95.2,132.225,33.85,164.41,53.39,44.56,23.115,14.1,23.67,89.12
2019-08-05,283.82,180.73,138.87,59.12,94.865,132.045,33.7,163.83,52.72,44.16,23.235,13.98,23.67,90.96
2019-08-02,292.62,187.35,136.51,59.56,95.53,131.925,34.02,163.925,54.06,46.12,23.79,13.79,23.81,91.84
